"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 05 04:54:59 GMT 2024","Fri Jan 05 04:55:00 GMT 2024","441","tests","test_login","TestLogin","","","test_registration_with_existing_email",""
"passed","Fri Jan 05 04:54:46 GMT 2024","Fri Jan 05 04:54:46 GMT 2024","641","tests","test_contact_us","TestContactUs","","","test_contact_us",""
"passed","Fri Jan 05 04:54:53 GMT 2024","Fri Jan 05 04:54:55 GMT 2024","2282","tests","test_login","TestLogin","","","test_login_with_valid_credentials",""
"passed","Fri Jan 05 04:55:03 GMT 2024","Fri Jan 05 04:55:04 GMT 2024","608","tests","test_products","TestProducts","","","test_search_product",""
"passed","Fri Jan 05 04:54:57 GMT 2024","Fri Jan 05 04:54:58 GMT 2024","908","tests","test_login","TestLogin","","","test_logout",""
"passed","Fri Jan 05 04:55:08 GMT 2024","Fri Jan 05 04:55:08 GMT 2024","588","tests","test_test_cases","TestTestCases","","","test_verify_test_cases_page",""
"passed","Fri Jan 05 04:54:47 GMT 2024","Fri Jan 05 04:54:51 GMT 2024","3675","tests","test_login","TestLogin","","","test_register",""
"passed","Fri Jan 05 04:55:05 GMT 2024","Fri Jan 05 04:55:07 GMT 2024","2185","tests","test_subscribe","TestSubscribe","","","test_subscribe",""
"passed","Fri Jan 05 04:55:01 GMT 2024","Fri Jan 05 04:55:02 GMT 2024","676","tests","test_products","TestProducts","","","test_all_products_and_product_details",""
"passed","Fri Jan 05 04:54:56 GMT 2024","Fri Jan 05 04:54:56 GMT 2024","422","tests","test_login","TestLogin","","","test_login_with_invalid_credentials",""
