"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 05 03:51:49 GMT 2024","Fri Jan 05 03:51:51 GMT 2024","1947","tests","test_login","TestLogin","","","test_login_with_valid_credentials",""
"passed","Fri Jan 05 03:52:09 GMT 2024","Fri Jan 05 03:52:10 GMT 2024","610","tests","test_test_cases","TestTestCases","","","test_verify_test_cases_page",""
"broken","Fri Jan 05 03:51:11 GMT 2024","Fri Jan 05 03:51:42 GMT 2024","30577","tests","test_contact_us","TestContactUs","","","test_contact_us",""
"passed","Fri Jan 05 03:51:44 GMT 2024","Fri Jan 05 03:51:47 GMT 2024","3493","tests","test_login","TestLogin","","","test_register",""
"passed","Fri Jan 05 03:51:53 GMT 2024","Fri Jan 05 03:51:53 GMT 2024","486","tests","test_login","TestLogin","","","test_login_with_invalid_credentials",""
"passed","Fri Jan 05 03:51:57 GMT 2024","Fri Jan 05 03:51:57 GMT 2024","512","tests","test_login","TestLogin","","","test_registration_with_existing_email",""
"passed","Fri Jan 05 03:52:04 GMT 2024","Fri Jan 05 03:52:06 GMT 2024","2029","tests","test_subscribe","TestSubscribe","","","test_subscribe",""
"passed","Fri Jan 05 03:51:59 GMT 2024","Fri Jan 05 03:52:00 GMT 2024","613","tests","test_products","TestProducts","","","test_all_products_and_product_details",""
"passed","Fri Jan 05 03:52:02 GMT 2024","Fri Jan 05 03:52:02 GMT 2024","688","tests","test_products","TestProducts","","","test_search_product",""
"passed","Fri Jan 05 03:51:55 GMT 2024","Fri Jan 05 03:51:56 GMT 2024","1008","tests","test_login","TestLogin","","","test_logout",""
