"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 05 04:30:52 GMT 2024","Fri Jan 05 04:30:53 GMT 2024","698","tests","test_products","TestProducts","","","test_search_product",""
"passed","Fri Jan 05 04:30:50 GMT 2024","Fri Jan 05 04:30:51 GMT 2024","624","tests","test_products","TestProducts","","","test_all_products_and_product_details",""
"passed","Fri Jan 05 04:30:59 GMT 2024","Fri Jan 05 04:30:59 GMT 2024","567","tests","test_test_cases","TestTestCases","","","test_verify_test_cases_page",""
"passed","Fri Jan 05 04:30:34 GMT 2024","Fri Jan 05 04:30:38 GMT 2024","3384","tests","test_login","TestLogin","","","test_register",""
"passed","Fri Jan 05 04:30:44 GMT 2024","Fri Jan 05 04:30:45 GMT 2024","1045","tests","test_login","TestLogin","","","test_logout",""
"passed","Fri Jan 05 04:30:39 GMT 2024","Fri Jan 05 04:30:41 GMT 2024","1437","tests","test_login","TestLogin","","","test_login_with_valid_credentials",""
"passed","Fri Jan 05 04:30:42 GMT 2024","Fri Jan 05 04:30:43 GMT 2024","496","tests","test_login","TestLogin","","","test_login_with_invalid_credentials",""
"passed","Fri Jan 05 04:30:32 GMT 2024","Fri Jan 05 04:30:33 GMT 2024","688","tests","test_contact_us","TestContactUs","","","test_contact_us",""
"passed","Fri Jan 05 04:30:48 GMT 2024","Fri Jan 05 04:30:48 GMT 2024","465","tests","test_login","TestLogin","","","test_registration_with_existing_email",""
"passed","Fri Jan 05 04:30:55 GMT 2024","Fri Jan 05 04:30:57 GMT 2024","2079","tests","test_subscribe","TestSubscribe","","","test_subscribe",""
