"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 05 04:05:40 GMT 2024","Fri Jan 05 04:05:41 GMT 2024","1013","tests","test_login","TestLogin","","","test_logout",""
"passed","Fri Jan 05 04:05:46 GMT 2024","Fri Jan 05 04:05:47 GMT 2024","768","tests","test_products","TestProducts","","","test_search_product",""
"passed","Fri Jan 05 04:05:44 GMT 2024","Fri Jan 05 04:05:45 GMT 2024","611","tests","test_products","TestProducts","","","test_all_products_and_product_details",""
"passed","Fri Jan 05 04:05:37 GMT 2024","Fri Jan 05 04:05:38 GMT 2024","493","tests","test_login","TestLogin","","","test_login_with_invalid_credentials",""
"passed","Fri Jan 05 04:05:34 GMT 2024","Fri Jan 05 04:05:36 GMT 2024","1263","tests","test_login","TestLogin","","","test_login_with_valid_credentials",""
"passed","Fri Jan 05 04:05:42 GMT 2024","Fri Jan 05 04:05:43 GMT 2024","493","tests","test_login","TestLogin","","","test_registration_with_existing_email",""
"passed","Fri Jan 05 04:05:49 GMT 2024","Fri Jan 05 04:05:51 GMT 2024","2149","tests","test_subscribe","TestSubscribe","","","test_subscribe",""
"passed","Fri Jan 05 04:05:53 GMT 2024","Fri Jan 05 04:05:54 GMT 2024","574","tests","test_test_cases","TestTestCases","","","test_verify_test_cases_page",""
"passed","Fri Jan 05 04:05:29 GMT 2024","Fri Jan 05 04:05:30 GMT 2024","695","tests","test_contact_us","TestContactUs","","","test_contact_us",""
"broken","Fri Jan 05 04:05:32 GMT 2024","Fri Jan 05 04:05:32 GMT 2024","504","tests","test_login","TestLogin","","","test_register",""
